tag,step,wall_time,value
action/longitudinal_max,500,1786468883.385982,0.9795204401016235
action/longitudinal_max,671,1786468901.332650,0.9869868159294128
action/longitudinal_max,921,1786468925.911792,0.996353030204773
action/longitudinal_max,1167,1786468950.003912,0.9853077530860901
action/longitudinal_max,1215,1786468958.406642,0.9567872285842896
action/longitudinal_max,1281,1786468968.202080,0.9950881600379944
action/longitudinal_max,1781,1786469018.077566,0.987810492515564
action/longitudinal_max,1825,1786469026.984156,0.9031265377998352
action/longitudinal_max,2027,1786469049.696947,0.977769672870636
action/longitudinal_max,2457,1786469089.622891,0.9935213327407837
action/longitudinal_max,2957,1786469134.390766,0.9955520629882812
action/longitudinal_max,3257,1786469162.948226,0.9711619019508362
action/longitudinal_max,3757,1786469207.034174,0.8197726607322693
action/longitudinal_max,4257,1786469252.153353,0.9632461667060852
action/longitudinal_max,4757,1786469297.397871,0.9662755131721497
action/longitudinal_max,5257,1786469342.028639,0.9636247754096985
action/longitudinal_max,5757,1786469386.520573,0.959571361541748
action/longitudinal_max,5925,1786469404.141752,0.9763549566268921
action/longitudinal_max,6036,1786469417.565676,0.9642588496208191
action/longitudinal_max,6536,1786469461.767719,0.9932685494422913
action/longitudinal_max,7036,1786469506.225879,0.8549451231956482
action/longitudinal_max,7536,1786469552.097178,0.9946966171264648
action/longitudinal_max,8036,1786469597.875215,-0.08462750166654587
action/longitudinal_max,8536,1786469642.006991,0.38892197608947754
action/longitudinal_max,9036,1786469687.081805,0.9828770160675049
action/longitudinal_max,9209,1786469705.741432,0.8960736393928528
action/longitudinal_max,9709,1786469751.034632,0.9506136775016785
action/longitudinal_max,10000,1786469779.426975,0.3343241214752197
action/longitudinal_mean,500,1786468883.385944,-0.1418529450893402
action/longitudinal_mean,671,1786468901.332618,0.05655969679355621
action/longitudinal_mean,921,1786468925.911749,0.12489558756351471
action/longitudinal_mean,1167,1786468950.003775,0.03186867758631706
action/longitudinal_mean,1215,1786468958.406607,0.35752081871032715
action/longitudinal_mean,1281,1786468968.202042,0.13909894227981567
action/longitudinal_mean,1781,1786469018.077429,0.07755394279956818
action/longitudinal_mean,1825,1786469026.984078,0.21949443221092224
action/longitudinal_mean,2027,1786469049.696750,-0.016375403851270676
action/longitudinal_mean,2457,1786469089.622847,0.022910943254828453
action/longitudinal_mean,2957,1786469134.390734,-0.11624857783317566
action/longitudinal_mean,3257,1786469162.948188,0.016655661165714264
action/longitudinal_mean,3757,1786469207.034132,-0.5173691511154175
action/longitudinal_mean,4257,1786469252.153308,-0.7287032604217529
action/longitudinal_mean,4757,1786469297.397827,-0.4833475947380066
action/longitudinal_mean,5257,1786469342.028595,-0.3091180622577667
action/longitudinal_mean,5757,1786469386.520521,-0.8418251872062683
action/longitudinal_mean,5925,1786469404.141716,0.08263041824102402
action/longitudinal_mean,6036,1786469417.565635,0.06495733559131622
action/longitudinal_mean,6536,1786469461.767681,0.047631315886974335
action/longitudinal_mean,7036,1786469506.225611,-0.5689246654510498
action/longitudinal_mean,7536,1786469552.097127,-0.0794994980096817
action/longitudinal_mean,8036,1786469597.875173,-0.9220690131187439
action/longitudinal_mean,8536,1786469642.006943,-0.9383288621902466
action/longitudinal_mean,9036,1786469687.081758,-0.3484691083431244
action/longitudinal_mean,9209,1786469705.741393,-0.527867317199707
action/longitudinal_mean,9709,1786469751.034594,-0.12929511070251465
action/longitudinal_mean,10000,1786469779.426933,-0.8188178539276123
action/longitudinal_min,500,1786468883.385974,-0.9932527542114258
action/longitudinal_min,671,1786468901.332643,-0.9550858736038208
action/longitudinal_min,921,1786468925.911783,-0.9980624318122864
action/longitudinal_min,1167,1786468950.003803,-0.983424186706543
action/longitudinal_min,1215,1786468958.406633,-0.9520661234855652
action/longitudinal_min,1281,1786468968.202070,-0.9522115588188171
action/longitudinal_min,1781,1786469018.077531,-0.9874757528305054
action/longitudinal_min,1825,1786469026.984133,-0.967860758304596
