tag,step,wall_time,value
action/longitudinal_max,70,1786557539.716344,0.9890158772468567
action/longitudinal_max,162,1786557555.566489,0.986461341381073
action/longitudinal_max,484,1786557591.934694,0.9871108531951904
action/longitudinal_max,517,1786557596.986136,0.932601809501648
action/longitudinal_max,632,1786557614.430394,0.9919055104255676
action/longitudinal_max,762,1786557628.139582,0.9891282916069031
action/longitudinal_max,935,1786557645.918528,0.9910380840301514
action/longitudinal_max,1063,1786557664.226387,0.9892827868461609
action/longitudinal_max,1289,1786557689.471266,0.990959644317627
action/longitudinal_max,1361,1786557699.570108,0.9539197683334351
action/longitudinal_max,1591,1786557720.245117,0.9748074412345886
action/longitudinal_max,1706,1786557734.289205,0.9690519571304321
action/longitudinal_max,1797,1786557753.892580,0.9265592694282532
action/longitudinal_max,1952,1786557782.384313,0.9670922160148621
action/longitudinal_max,2043,1786557793.200821,0.9882680177688599
action/longitudinal_max,2127,1786557808.364678,0.9844485521316528
action/longitudinal_max,2225,1786557825.469136,0.9663714170455933
action/longitudinal_max,2305,1786557844.000039,0.9486122131347656
action/longitudinal_max,3505,1786557979.963454,0.9970172643661499
action/longitudinal_max,4146,1786558060.958661,0.9914529919624329
action/longitudinal_max,5346,1786558227.294912,0.9959250688552856
action/longitudinal_max,6060,1786558339.281803,0.9960929751396179
action/longitudinal_max,6704,1786558406.885516,0.9949348568916321
action/longitudinal_max,6775,1786558418.371441,0.9829047918319702
action/longitudinal_max,6922,1786558445.335078,0.9756413698196411
action/longitudinal_max,7341,1786558500.603753,0.9979270100593567
action/longitudinal_max,8003,1786558593.050363,0.9927147626876831
action/longitudinal_max,8647,1786558665.467727,0.9949767589569092
action/longitudinal_max,8719,1786558673.937195,0.97353595495224
action/longitudinal_max,9418,1786558758.553836,0.9938430190086365
action/longitudinal_max,10090,1786558837.470002,0.994414746761322
action/longitudinal_max,10749,1786558921.011697,0.9949615597724915
action/longitudinal_max,10824,1786558927.700441,0.9704505801200867
action/longitudinal_max,11262,1786558980.966079,0.9993705153465271
action/longitudinal_max,11612,1786559036.980531,0.990928590297699
action/longitudinal_max,11755,1786559054.139624,0.9930900931358337
action/longitudinal_max,11833,1786559064.759472,0.9882878065109253
action/longitudinal_max,12141,1786559097.515378,0.9902470111846924
action/longitudinal_max,12269,1786559111.622180,0.9919198751449585
action/longitudinal_max,12479,1786559136.395469,0.9967548251152039
action/longitudinal_max,12738,1786559170.258997,0.9953572154045105
action/longitudinal_max,13059,1786559211.742760,0.9977056384086609
action/longitudinal_max,13568,1786559289.311601,0.9878666996955872
