tag,step,wall_time,value
action/longitudinal_max,132,1786568196.499094,0.9806779026985168
action/longitudinal_max,223,1786568210.882874,0.9788195490837097
action/longitudinal_max,322,1786568221.712459,0.9888015985488892
action/longitudinal_max,418,1786568232.672350,0.9837806820869446
action/longitudinal_max,499,1786568245.131272,0.9996171593666077
action/longitudinal_max,732,1786568269.000144,0.9921425580978394
action/longitudinal_max,766,1786568272.664126,0.9665497541427612
action/longitudinal_max,818,1786568280.491858,0.9970531463623047
action/longitudinal_max,934,1786568292.938682,0.9658529758453369
action/longitudinal_max,981,1786568299.523712,0.96640545129776
action/longitudinal_max,1064,1786568307.438605,0.9577139616012573
action/longitudinal_max,1114,1786568313.759724,0.9472830295562744
action/longitudinal_max,1152,1786568323.223660,0.9898037910461426
action/longitudinal_max,1251,1786568341.956502,0.9922008514404297
action/longitudinal_max,1466,1786568367.413751,0.9998979568481445
action/longitudinal_max,1575,1786568388.210928,0.9961770176887512
action/longitudinal_max,1654,1786568403.774065,0.991280734539032
action/longitudinal_max,1765,1786568427.703533,0.9928752779960632
action/longitudinal_max,1807,1786568432.913588,0.9896366596221924
action/longitudinal_max,1939,1786568454.672071,0.9964926242828369
action/longitudinal_max,1964,1786568457.988395,0.9915751218795776
action/longitudinal_max,2038,1786568468.681188,0.9906753301620483
action/longitudinal_max,2091,1786568475.073078,0.9937055110931396
action/longitudinal_max,2152,1786568485.553450,0.9894535541534424
action/longitudinal_max,2210,1786568495.187998,0.998702347278595
action/longitudinal_max,2251,1786568501.231071,0.9799666404724121
action/longitudinal_max,3157,1786568620.311945,0.9987590312957764
action/longitudinal_max,3836,1786568696.447049,0.9988529682159424
action/longitudinal_max,4004,1786568715.902360,0.9902511835098267
action/longitudinal_max,5204,1786568867.490998,0.9965909719467163
action/longitudinal_max,6404,1786569026.678023,0.9972737431526184
action/longitudinal_max,7604,1786569177.873674,0.9993372559547424
action/longitudinal_max,7726,1786569188.660387,0.9972482323646545
action/longitudinal_max,8926,1786569317.266034,0.9996156692504883
action/longitudinal_max,9280,1786569371.308996,0.9977942109107971
action/longitudinal_max,9469,1786569394.693302,0.9992830157279968
action/longitudinal_max,9553,1786569405.805380,0.9888368248939514
action/longitudinal_max,10366,1786569497.348461,0.9979961514472961
action/longitudinal_max,10484,1786569510.055349,0.9997424483299255
action/longitudinal_max,10906,1786569564.480274,0.999297022819519
action/longitudinal_max,11348,1786569621.423457,0.9993499517440796
action/longitudinal_max,11686,1786569664.834592,0.9992071390151978
action/longitudinal_max,12346,1786569756.926050,0.9992097616195679
action/longitudinal_max,13002,1786569859.302548,0.9950438737869263
action/longitudinal_max,13762,1786569996.980628,0.9998572468757629
action/longitudinal_max,14054,1786570031.657700,0.9995191693305969
action/longitudinal_max,14437,1786570080.360068,0.9944741725921631
action/longitudinal_max,14901,1786570138.467759,0.9996286630630493
action/longitudinal_max,15338,1786570201.325817,0.9893683195114136
action/longitudinal_max,15883,1786570267.652802,0.9995721578598022
action/longitudinal_max,16552,1786570343.352772,0.9936688542366028
action/longitudinal_max,16699,1786570365.984807,0.994757354259491
action/longitudinal_max,16715,1786570370.077495,0.9609906673431396
action/longitudinal_max,17716,1786570485.771270,0.995578408241272
action/longitudinal_max,17866,1786570503.878842,0.9976242184638977
action/longitudinal_max,18230,1786570558.464836,0.9999926686286926
action/longitudinal_max,18490,1786570593.604790,0.9987596869468689
action/longitudinal_max,19082,1786570661.066004,0.9953880310058594
action/longitudinal_max,20000,1786570788.967378,0.9999990463256836
action/longitudinal_mean,132,1786568196.499064,0.013157842680811882
action/longitudinal_mean,223,1786568210.882842,-0.015033588744699955
action/longitudinal_mean,322,1786568221.712384,0.00798224750906229
action/longitudinal_mean,418,1786568232.672321,-0.019768405705690384
action/longitudinal_mean,499,1786568245.131244,0.05148038640618324
action/longitudinal_mean,732,1786568269.000066,0.012561028823256493
action/longitudinal_mean,766,1786568272.664041,-0.07759074121713638
action/longitudinal_mean,818,1786568280.491810,0.08461061120033264
action/longitudinal_mean,934,1786568292.938603,0.02276141755282879
action/longitudinal_mean,981,1786568299.523467,-0.0959661528468132
action/longitudinal_mean,1064,1786568307.438555,0.04809120297431946
action/longitudinal_mean,1114,1786568313.759694,0.057008907198905945
action/longitudinal_mean,1152,1786568323.223455,0.002080650767311454
action/longitudinal_mean,1251,1786568341.956431,-0.02572297491133213
action/longitudinal_mean,1466,1786568367.413677,0.06838248670101166
action/longitudinal_mean,1575,1786568388.210899,0.06664364784955978
action/longitudinal_mean,1654,1786568403.774020,0.043410785496234894
action/longitudinal_mean,1765,1786568427.703499,0.1363173872232437
action/longitudinal_mean,1807,1786568432.913491,0.43259575963020325
action/longitudinal_mean,1939,1786568454.672037,0.25649550557136536
action/longitudinal_mean,1964,1786568457.988339,0.43071669340133667
action/longitudinal_mean,2038,1786568468.681153,0.15889206528663635
action/longitudinal_mean,2091,1786568475.073045,0.4667328894138336
